10.1.1.1,test3.hrecordtest.com
test1.hrecordtest.com
test2.hrecordtest.com
ptrtest.autoevertest.com
10.1.1.10,ptrtest1.autoevertest.com
10.1.2.180,ccps.hyundaibngsteel.co.kr
ccps.hyundai-bngsteel.co.kr
ccps.hyundai-bngsteel.com
ccps.hyundaibngsteel.com
10.1.5.92,webhard.haevichi.com
10.1.13.12,ns.hyundai-motor.com
10.1.33.244,ns2.hyundai-motor.com
10.1.33.244
10.1.40.92,temp-ns.hyundai-motor.com
temp_ns.hyundai-motor.com
10.1.60.68,ns1.hyundai-motor.com
10.1.60.68
10.1.60.252,testdns.hyundai-motor.com
10.1.60.252
10.1.69.37,swsa.hyundai-transys.com
10.2.2.2,ptrt.autoevertest.com
10.3.3.3,test5.hrecordtest.com
10.5.7.40,dc2.kr.hmgcloud.com
10.5.32.24,maaskmsproxy.hmckmc.co.kr
10.5.32.26,iatd.hmc.co.kr
10.5.32.30,ebts.hyundai.com
10.5.32.31,privacy-api-kr.hyundai.com
10.5.32.32,org.hmgprime.com
10.5.32.36,kwpsso.kia.com
10.5.32.38,sqim.hmckmc.co.kr
10.5.32.41,trademark.hmc.co.kr
10.5.32.42,kwp1.kia.com
10.5.32.43,kwp2.kia.com
10.5.32.45,h-rtc-gl.hmc.co.kr
10.5.32.47,h-ccchatask.hmc.co.kr
10.5.32.49,h-csplaza.hmc.co.kr
10.5.32.50,vocmobile.hmc.co.kr
10.5.32.64,h-rtc-g03.hmc.co.kr
10.5.32.70,h-rtc-e01.hmc.co.kr
10.5.32.84,api-prd.connex.hyundai
10.5.32.89,org1.hyundai.com
10.5.32.97,h-rtc-e02.hmc.co.kr
10.5.32.102,h-rtc-g02.hmc.co.kr
10.5.32.127,org2-adm.hyundai.com
10.5.32.129,h-stg-ccchatask.hmc.co.kr
10.5.32.153,stg-voc.hmc.co.kr
10.5.32.168,h-stg-csplaza.hmc.co.kr
10.5.32.187,org1-adm.hyundai.com
10.5.32.188,org3.hyundai.com
10.5.32.190,h-rtc-e03.hmc.co.kr
10.5.32.198,h-rtc-g01.hmc.co.kr
10.5.32.221,org2.hyundai.com
10.5.32.236,askms.hmc.co.kr
10.5.32.244,dpsmsk.hmc.co.kr
10.5.32.249,bmsorg.hmc.co.kr
10.5.32.253,connectstore.kia.com
10.5.32.254,h-rtc-el.hmc.co.kr
10.5.33.41,config.route.com
10.5.33.52,soc.hyundai.net
10.5.33.57,secwh.hyundai-autoever.com
10.5.33.89,visit.autoever.com
10.5.33.101,neofactory.hyundai-autoever.com
10.5.33.104,sase.hyundai.net
10.5.33.127,sase.hyundai.net
10.5.33.190,apte.autoever.com
10.5.33.194,hmpgadm.hyundai-autoever.com
10.5.33.195,vaatzitstg.autoever.com
10.5.34.21,maaskmstg.hmckmc.co.kr
10.5.34.22,maaskmsdv.hmckmc.co.kr
10.5.34.23,stg-privacy-api-kr.genesis.com
10.5.34.27,qa-cpostatic.hmc.co.kr
10.5.34.29,fod-stg.hyundai.com
10.5.34.60,h-dev-rtc-e.hmc.co.kr
10.5.34.63,h-dev-rtc-g.hmc.co.kr
10.5.34.117,api-dev.connex.hyundai
10.5.34.123,h-dev-ccchatask.hmc.co.kr
10.5.34.141,stg-www.hyundai.com
10.5.34.209,dev.wible.hyundaimotorgroup.com
10.5.34.233,dev-dpsms.hmc.co.kr
10.5.34.234,stg.wible.hyundaimotorgroup.com
10.5.38.21,bizcenter.wia.co.kr
10.5.38.33,www.hyundai-wia.com
10.5.38.41,mtway.wia.co.kr
10.5.38.54,susb.wia.co.kr
10.5.38.75,cms.hyundai-wia.com
10.5.38.97,gqis.wia.co.kr
10.5.38.135,isir.wia.co.kr
10.5.38.169,ngqms.wia.co.kr
10.5.38.206,org-gsis.wia.co.kr
10.5.38.207,acam.wia.co.kr
